Start,Finish,Distance (km),Steps (count)
30-Sep-2016 00:00,01-Oct-2016 00:00,2.53777,4478.0
01-Oct-2016 00:00,02-Oct-2016 00:00,0.0199200000000001,28.0
02-Oct-2016 00:00,03-Oct-2016 00:00,6.43867790973617,11147.0
03-Oct-2016 00:00,04-Oct-2016 00:00,1.82547999999997,3441.0
04-Oct-2016 00:00,05-Oct-2016 00:00,9.1817299999998,15456.0
05-Oct-2016 00:00,06-Oct-2016 00:00,2.87005999999971,4008.0
06-Oct-2016 00:00,07-Oct-2016 00:00,0.0574899999999943,86.0
07-Oct-2016 00:00,08-Oct-2016 00:00,0.665440000000006,1218.0
08-Oct-2016 00:00,09-Oct-2016 00:00,4.05283443826874,7163.0
09-Oct-2016 00:00,10-Oct-2016 00:00,4.01329999999998,7063.0
10-Oct-2016 00:00,11-Oct-2016 00:00,2.81934000000012,5147.0
11-Oct-2016 00:00,12-Oct-2016 00:00,3.36696000000004,6117.0
12-Oct-2016 00:00,13-Oct-2016 00:00,3.24238000000002,5677.0
13-Oct-2016 00:00,14-Oct-2016 00:00,3.1356800000001,5590.0
14-Oct-2016 00:00,15-Oct-2016 00:00,3.76789999999951,6939.0
15-Oct-2016 00:00,16-Oct-2016 00:00,2.05466000000003,3721.0
16-Oct-2016 00:00,17-Oct-2016 00:00,3.07223000000001,5708.0
17-Oct-2016 00:00,18-Oct-2016 00:00,3.61682638458606,6797.0
18-Oct-2016 00:00,19-Oct-2016 00:00,8.33452439761986,14832.0
19-Oct-2016 00:00,20-Oct-2016 00:00,4.25611000000034,8150.0
20-Oct-2016 00:00,21-Oct-2016 00:00,3.50091999999985,6308.0
21-Oct-2016 00:00,22-Oct-2016 00:00,4.18592999999964,7232.0
22-Oct-2016 00:00,23-Oct-2016 00:00,4.31338999999942,7825.0
23-Oct-2016 00:00,24-Oct-2016 00:00,9.85918012440155,17128.0
24-Oct-2016 00:00,25-Oct-2016 00:00,3.74569999999992,6725.0
25-Oct-2016 00:00,26-Oct-2016 00:00,5.01423999999989,8780.0
26-Oct-2016 00:00,27-Oct-2016 00:00,4.15733999999997,7020.0
27-Oct-2016 00:00,28-Oct-2016 00:00,6.31981000000033,9927.0
28-Oct-2016 00:00,29-Oct-2016 00:00,4.32963000000011,7030.0
29-Oct-2016 00:00,30-Oct-2016 00:00,0.0,0.0
30-Oct-2016 00:00,31-Oct-2016 00:00,1.58528000000003,2350.0
31-Oct-2016 00:00,01-Nov-2016 00:00,4.28367406109632,6340.0
01-Nov-2016 00:00,02-Nov-2016 00:00,4.65643933207124,7166.0
02-Nov-2016 00:00,03-Nov-2016 00:00,4.19033999999969,6857.0
03-Nov-2016 00:00,04-Nov-2016 00:00,5.59915999999922,9251.0
04-Nov-2016 00:00,05-Nov-2016 00:00,4.3916199999995,7373.0
05-Nov-2016 00:00,06-Nov-2016 00:00,1.69036999999857,2865.0
06-Nov-2016 00:00,07-Nov-2016 00:00,2.03776999999912,3348.0
07-Nov-2016 00:00,08-Nov-2016 00:00,4.06534999999864,6990.0
08-Nov-2016 00:00,09-Nov-2016 00:00,4.83611000000007,8014.0
09-Nov-2016 00:00,10-Nov-2016 00:00,4.5346200000009,7470.0
10-Nov-2016 00:00,11-Nov-2016 00:00,12.3044502440876,19351.0
11-Nov-2016 00:00,12-Nov-2016 00:00,4.36143999999965,7071.0
12-Nov-2016 00:00,13-Nov-2016 00:00,2.61280000000019,4406.0
13-Nov-2016 00:00,14-Nov-2016 00:00,0.706499999999854,1261.0
14-Nov-2016 00:00,15-Nov-2016 00:00,5.0195099999987,8396.0
15-Nov-2016 00:00,16-Nov-2016 00:00,4.4303600000001,7719.0
16-Nov-2016 00:00,17-Nov-2016 00:00,4.73899876357842,7594.0
17-Nov-2016 00:00,18-Nov-2016 00:00,4.47636999999991,7099.0
18-Nov-2016 00:00,19-Nov-2016 00:00,5.24233000000019,8436.0
19-Nov-2016 00:00,20-Nov-2016 00:00,0.00395999999999185,9.0
20-Nov-2016 00:00,21-Nov-2016 00:00,0.0122699999999895,25.0
21-Nov-2016 00:00,22-Nov-2016 00:00,5.71968000000005,9547.0
22-Nov-2016 00:00,23-Nov-2016 00:00,7.34758000000179,12064.0
23-Nov-2016 00:00,24-Nov-2016 00:00,4.05306000000105,6871.0
24-Nov-2016 00:00,25-Nov-2016 00:00,6.50778000000006,10728.0
25-Nov-2016 00:00,26-Nov-2016 00:00,4.94913999999937,8035.0
26-Nov-2016 00:00,27-Nov-2016 00:00,2.87591999999914,4227.0
27-Nov-2016 00:00,28-Nov-2016 00:00,0.977899999999441,1639.0
28-Nov-2016 00:00,29-Nov-2016 00:00,5.79589000000019,9616.0
29-Nov-2016 00:00,30-Nov-2016 00:00,4.6478177310107,6798.0
30-Nov-2016 00:00,01-Dec-2016 00:00,5.28372403453005,7817.0
01-Dec-2016 00:00,02-Dec-2016 00:00,4.72277000000069,7994.0
02-Dec-2016 00:00,03-Dec-2016 00:00,3.65357000000088,6162.0
03-Dec-2016 00:00,04-Dec-2016 00:00,2.12403569341017,2844.0
04-Dec-2016 00:00,05-Dec-2016 00:00,0.0223699999999953,34.0
05-Dec-2016 00:00,06-Dec-2016 00:00,4.61395999999603,7408.0
06-Dec-2016 00:00,07-Dec-2016 00:00,4.67491999999317,7593.0
07-Dec-2016 00:00,08-Dec-2016 00:00,3.79335999999417,6512.0
08-Dec-2016 00:00,09-Dec-2016 00:00,3.68970999999455,5771.0
09-Dec-2016 00:00,10-Dec-2016 00:00,4.29592999999359,6631.0
10-Dec-2016 00:00,11-Dec-2016 00:00,1.83681999999721,2857.0
11-Dec-2016 00:00,12-Dec-2016 00:00,0.0161999999999534,23.0
12-Dec-2016 00:00,13-Dec-2016 00:00,4.69992999999638,7690.0
13-Dec-2016 00:00,14-Dec-2016 00:00,3.70340999999811,5775.0
14-Dec-2016 00:00,15-Dec-2016 00:00,3.86914999999478,6013.0
15-Dec-2016 00:00,16-Dec-2016 00:00,3.60321999999421,5776.0
16-Dec-2016 00:00,17-Dec-2016 00:00,4.50672999999317,7189.0
17-Dec-2016 00:00,18-Dec-2016 00:00,0.0,0.0
18-Dec-2016 00:00,19-Dec-2016 00:00,0.0,0.0
19-Dec-2016 00:00,20-Dec-2016 00:00,4.00129999999376,6513.0
20-Dec-2016 00:00,21-Dec-2016 00:00,3.57525999999698,5346.0
21-Dec-2016 00:00,22-Dec-2016 00:00,0.0,0.0
22-Dec-2016 00:00,23-Dec-2016 00:00,0.0142000000000116,20.0
23-Dec-2016 00:00,24-Dec-2016 00:00,6.38696999998751,10079.0
24-Dec-2016 00:00,25-Dec-2016 00:00,2.41287999999704,4430.0
25-Dec-2016 00:00,26-Dec-2016 00:00,7.72960999998771,13946.0
26-Dec-2016 00:00,27-Dec-2016 00:00,2.90732999999379,4837.0
27-Dec-2016 00:00,28-Dec-2016 00:00,3.43424999999424,5600.0
28-Dec-2016 00:00,29-Dec-2016 00:00,4.3884399999922,6765.0
29-Dec-2016 00:00,30-Dec-2016 00:00,3.13421999999305,4868.0
30-Dec-2016 00:00,31-Dec-2016 00:00,3.67104999999789,5839.0
31-Dec-2016 00:00,01-Jan-2017 00:00,0.0,0.0
01-Jan-2017 00:00,02-Jan-2017 00:00,0.015859999999986,23.0
02-Jan-2017 00:00,03-Jan-2017 00:00,0.0,0.0
03-Jan-2017 00:00,04-Jan-2017 00:00,3.95876999999367,6471.0
04-Jan-2017 00:00,05-Jan-2017 00:00,4.07017999999272,6792.0
05-Jan-2017 00:00,06-Jan-2017 00:00,3.44782999999647,5857.0
06-Jan-2017 00:00,07-Jan-2017 00:00,3.60190999999386,6292.0
07-Jan-2017 00:00,08-Jan-2017 00:00,3.35754999999586,5667.0
08-Jan-2017 00:00,09-Jan-2017 00:00,0.0,0.0
09-Jan-2017 00:00,10-Jan-2017 00:00,3.98842999999219,6482.0
10-Jan-2017 00:00,11-Jan-2017 00:00,5.58785999999248,9107.0
11-Jan-2017 00:00,12-Jan-2017 00:00,3.70013999999588,5980.0
12-Jan-2017 00:00,13-Jan-2017 00:00,0.00447999999998137,8.0
13-Jan-2017 00:00,14-Jan-2017 00:00,0.0,0.0
14-Jan-2017 00:00,15-Jan-2017 00:00,0.0,0.0
15-Jan-2017 00:00,16-Jan-2017 00:00,2.91292999999749,4994.0
16-Jan-2017 00:00,17-Jan-2017 00:00,4.6465399999948,7438.0
17-Jan-2017 00:00,18-Jan-2017 00:00,6.66958999999531,10598.0
18-Jan-2017 00:00,19-Jan-2017 00:00,4.36220999999507,7258.0
19-Jan-2017 00:00,20-Jan-2017 00:00,3.92077999999537,5808.0
20-Jan-2017 00:00,21-Jan-2017 00:00,3.66048999999306,5994.0
21-Jan-2017 00:00,22-Jan-2017 00:00,0.0992999999999302,142.0
22-Jan-2017 00:00,23-Jan-2017 00:00,5.5475099999918,8395.0
23-Jan-2017 00:00,24-Jan-2017 00:00,4.72982999999187,8022.0
24-Jan-2017 00:00,25-Jan-2017 00:00,6.17571999999625,10740.0
25-Jan-2017 00:00,26-Jan-2017 00:00,0.00328000000002794,8.0
26-Jan-2017 00:00,27-Jan-2017 00:00,5.46754999999714,8838.0
27-Jan-2017 00:00,28-Jan-2017 00:00,1.12099429001315,1912.12994014183
28-Jan-2017 00:00,29-Jan-2017 00:00,0.868875709986438,1387.87005985817
29-Jan-2017 00:00,30-Jan-2017 00:00,1.42371000000014,2134.0
30-Jan-2017 00:00,31-Jan-2017 00:00,0.17762000000017,250.0
31-Jan-2017 00:00,01-Feb-2017 00:00,0.0321599999999744,45.0
01-Feb-2017 00:00,02-Feb-2017 00:00,6.91169999999914,10171.0
02-Feb-2017 00:00,03-Feb-2017 00:00,5.21002936025249,8010.0
03-Feb-2017 00:00,04-Feb-2017 00:00,6.9848499999998,11743.0
04-Feb-2017 00:00,05-Feb-2017 00:00,3.89451999999717,6696.0
05-Feb-2017 00:00,06-Feb-2017 00:00,1.79208999999956,2974.0
06-Feb-2017 00:00,07-Feb-2017 00:00,4.79502999999118,8108.0
07-Feb-2017 00:00,08-Feb-2017 00:00,5.11896999999124,8579.0
